
impresora,mes,usuario,total,copias,impresiones,fullColor,negro
Konica C454,MAYO,MREYES,15561,1059,14502,11138,3364
Konica C454,MAYO,IAPAZA,11976,341,11635,10429,1206
Konica C454,MAYO,GYACO,9369,221,9148,7195,1953
Konica C454,MAYO,RTICONA,6382,6382,0,0,0
Konica C454,MAYO,NARCE,5285,28,5257,4300,957
Konica C454,MAYO,MAPAZA,4581,45,4536,4393,143
Konica C454,MAYO,AQUINTANILLA,4045,270,3775,3331,444
Konica C454,MAYO,PCALCINA,3040,93,2947,2546,401
Konica C454,MAYO,MHUERTA,2767,49,2718,1687,1031
Konica C454,MAYO,MDELGADO,2422,30,2392,2171,221
Konica C454,MAYO,EMAMANI,1536,203,1333,1132,201
Konica C454,MAYO,RMEZA,1483,0,1483,1233,250
Konica C454,MAYO,DPENA,856,81,775,619,156
Konica C454,MAYO,AMOLINA,670,68,602,514,88
Konica C454,MAYO,JCHURATA,317,0,317,265,52
Konica C454,MAYO,HANCASI,200,4,196,166,30
Konica C454,MAYO,MCONDORI,193,24,169,58,111
Konica C454,MAYO,RBEJARANO,159,1,158,141,17
Konica C454,MAYO,JZEVALLOS,7,1,6,5,1
Konica C454,ABRIL,IAPAZA,12215,375,11840,10599,1241
Konica C454,ABRIL,MREYES,14980,1020,13960,10740,3220
Konica C454,ABRIL,RTICONA,6520,6520,0,0,0
Konica C454,ABRIL,GYACO,9200,230,8970,6995,1975
Konica C454,ABRIL,NARCE,5010,25,4985,4085,900
Konica C454,ABRIL,MAPAZA,4320,42,4278,4152,126
Konica C454,ABRIL,AQUINTANILLA,3800,260,3540,3112,428
Konica C454,ABRIL,PCALCINA,3100,90,3010,2608,402
Konica C454,ABRIL,AANAMPA,2560,35,2525,2310,215
Konica C454,ABRIL,MHUERTA,2680,45,2635,1610,1025
Konica C454,ABRIL,EMAMANI,1470,195,1275,1095,180
Konica C454,ABRIL,RMEZA,1440,0,1440,1205,235
Konica C454,ABRIL,DPENA,890,85,805,640,165
Konica C454,ABRIL,JCHURATA,295,0,295,240,55
Konica C454,ABRIL,HANCASI,190,5,185,155,30
Konica C454,ABRIL,MCONDORI,200,20,180,65,115
Konica C454,ABRIL,RBEJARANO,180,2,178,158,20
Konica C454,ABRIL,JZEVALLOS,9,1,8,6,2
Konica C454,MARZO,MREYES,15200,1030,14170,10910,3260
Konica C454,MARZO,IAPAZA,11850,330,11520,10340,1180
Konica C454,MARZO,GYACO,9010,215,8795,6980,1815
Konica C454,MARZO,RTICONA,6450,6450,0,0,0
Konica C454,MARZO,NARCE,5340,30,5310,4320,990
Konica C454,MARZO,MAPAZA,4620,50,4570,4430,140
Konica C454,MARZO,AQUINTANILLA,3950,280,3670,3220,450
Konica C454,MARZO,PCALCINA,3010,92,2918,2510,408
Konica C454,MARZO,MHUERTA,2710,52,2658,1660,998
Konica C454,MARZO,AANAMPA,2380,33,2347,2130,217
Konica C454,MARZO,EMAMANI,1500,200,1300,1100,200
Konica C454,MARZO,RMEZA,1470,0,1470,1220,250
Konica C454,MARZO,DPENA,880,80,800,630,170
Konica C454,MARZO,JCHURATA,310,0,310,260,50
Konica C454,MARZO,HANCASI,195,3,192,160,32
Konica C454,MARZO,MCONDORI,190,25,165,55,110
Konica C454,MARZO,RBEJARANO,160,2,158,140,18
Konica C454,MARZO,JZEVALLOS,8,1,7,5,2
Xerox C7125,MAYO,MAPAZA,9372,469,8903,7029,2343
Xerox C7125,MAYO,CVELARDE,6600,330,6270,4950,1650
Xerox C7125,MAYO,CVILLANUEVA,3696,185,3511,2772,924
Xerox C7125,MAYO,YMEDINA,2112,106,2006,1584,528
Xerox C7125,MAYO,WLAZO,1320,66,1254,990,330
Xerox C7125,MAYO,KTICONA,660,33,627,495,165
Xerox C7125,MAYO,AMOLINA,528,27,501,396,132
Xerox C7125,MAYO,LCARPIO,264,14,250,198,66
Xerox C7125,ABRIL,MAPAZA,9372,469,8903,7029,2343
Xerox C7125,ABRIL,CVELARDE,6600,330,6270,4950,1650
Xerox C7125,ABRIL,CVILLANUEVA,3696,185,3511,2772,924
Xerox C7125,ABRIL,YMEDINA,2112,106,2006,1584,528
Xerox C7125,ABRIL,WLAZO,1320,66,1254,990,330
Xerox C7125,ABRIL,KTICONA,660,33,627,495,165
Xerox C7125,ABRIL,AMOLINA,528,27,501,396,132
Xerox C7125,ABRIL,LCARPIO,264,14,250,198,66
Xerox C7125,MARZO,MAPAZA,8946,448,8498,6709,2237
Xerox C7125,MARZO,CVELARDE,6300,315,5985,4725,1575
Xerox C7125,MARZO,CVILLANUEVA,3528,177,3351,2646,882
Xerox C7125,MARZO,YMEDINA,2016,101,1915,1512,504
Xerox C7125,MARZO,WLAZO,1260,63,1197,945,315
Xerox C7125,MARZO,KTICONA,630,32,598,472,158
Xerox C7125,MARZO,AMOLINA,504,26,478,378,126
Xerox C7125,MARZO,LCARPIO,252,13,239,189,63
